NameC,蟲
NameH,こ
UseCharacter,2
Anim,Motion_2_GroundAttack06
MoveVec,0*0*7.5*1|0*0*1*1|0*0*-3*1|0*0*-5*1
Damage,0|0|0|0|0
Stun,1|1|1|1|1
Deadly,1|1|1|1|1
ColVec,0*0.75*0.75*1|0*0.25*1.5*0.5|0*0.25*1.5*0.5|0*0.25*1*0.5|0*0.25*1*0.5
KnockBackVec,0*0*1*0.1|0*0*1*0.1|0*0*1*0.1|0*0*1*0.5|0*0*0*0.1
Introduction,強力な連続攻撃
UnLock,0|1|0
Chain,1
MoveType,0|0|0|0
AttackType,6|14|14|5|6
DownEnable,0|1|1|1|1
ColType,0|0|0|0|0
TimeType,0
HitEffect,HitEffect21|HitEffect20|HitEffect20|HitEffect20|HitEffect21
HitEffectPos,0*0.75*1|0*0.25*1|0*0.25*1|0*0.25*1|0*0.25*1
HitEffectAngle,45*0*0|0*45*0|0*-45*0|-90*0*0|-90*0*0
HitStop,0|0|0|0|0
Charge,0|0|0|0|0
HoldPos,0*0*0
LocationFlag,0
HitSE,_H|_L|_L|_L|_H
CoolDownTime,10
